Input,Output
"""Hello!""","""Hi there! How can I assist you today?"""
"""What's the weather like today?""","""I'm not sure at the moment, but you can check a weather app for real-time updates!"""
"""Can you tell me a joke?""","""Sure! Why don't scientists trust atoms? Because they make up everything!"""
"""What's your name?""","""I'm ChatBot, your friendly assistant."""
"""How do I reset my password?""","""To reset your password, go to the settings page, select 'Account', and click 'Reset Password'."""
"""What is the capital of France?""","""The capital of France is Paris."""
"""Can you help me with my homework?""","""Of course! What subject or topic are you working on?"""
"""Goodbye!""","""Goodbye! Have a great day!"""
"""Who is the President of the USA?""","""As of 2024, the President of the USA is Joe Biden."""
"""Tell me about the solar system.""","""The solar system consists of the Sun and eight planets, including Earth, orbiting around it."""
"""How do I bake a cake?""","""To bake a cake, you need ingredients like flour, sugar, eggs, and butter. Mix them, pour into a pan, and bake at 350°F for 30 minutes."""
"""What time is it?""","""I can't check the time, but you can look at the clock on your device."""
"""How can I improve my coding skills?""","""Practice regularly, read documentation, and work on small projects to enhance your coding skills."""
"""What's the meaning of life?""","""Many people say the meaning of life is to seek happiness and fulfillment in what you do."""
"""Do you have any hobbies?""","""As an AI, I don't have hobbies, but I do enjoy helping people with their questions!"""
"""What are the ingredients of pizza?""","""A basic pizza has dough, tomato sauce, cheese, and toppings like vegetables or meat."""
"""How far is the Moon from Earth?""","""The average distance from Earth to the Moon is about 384,400 kilometers (238,855 miles)."""
"""Can you translate 'Hello' to French?""","""Sure! 'Hello' in French is 'Bonjour'."""
"""What's 2+2?""","""2+2=4."""
"""How do I create a website?""","""You can create a website using HTML, CSS, and JavaScript. Alternatively, you can use website builders like WordPress or Wix."""
